Остатки отпуска,"
Как оформить командировку",Какие вакансии есть,"
Даты выплат зарплаты",Экскурсия на завод,Информация по орг. Структуре,Получение компьютера
Куда отправить заявление на отпуск?,,Есть несколько вариантов вакансий?,когда у нас пэй дэй?,Есть экскурсия на предприятие?,Кому я подчиняюсь?,"У меня медленный ноутбук, как попросить другой?"
Сколько я могу отсутствовать на работе в связи с отпуском?,,Знакомого сможем устроить к нам?,15 и 30? как везде?,можно глянуть на завод?,Кто мой непосредственный начальник?,А мое рабочее место оборудовано компьютером?
Сколько неиспользованного отпуска у меня?,,,Зарплата на карту приходит сразу?,можно глянуть на производство?,Кто мой непосредственный руководитель?,А ПК мне положен?
Отгулять сколько еще успею?,,,Деньги платите четко? без задержек?,,кто мой босс?,комп выдадут?
Сколько отпуска осталось?,Расходы на проезд в каком размере компенсируют?,Вакантные должности есть?,10 и 25? Как у всех?,Цех готовой продукции как найти?,"Я не люблю подчиняться, но все же, кто он/она?",Я так понимаю Macbook только после испытательного выдают?
,,,,,где у нас штаб кваритра?,За чем я буду работать?
,Какие доки нужны на командировку?,Что у нас сейчас с вакансиями?,По каким числам зарплата?,Можно привести друзей на экскурсию?,на каком ресурсе есть информация по орг.структуре?,можно мне комп?
,,,Что с баблом?,,Кто у нас руководитель отдела?,домой можно забирать компьютер?
,,,,,,Какая техника мне положена?
,,,,,,
Сколько дней отпуска я могу отгулять? ,Какой алгоритм оформления командировки? ,Какие вакансии открыты на данный момент?,По каким числам платят ЗП?,Есть возможность провести экскурсию на заводе?,Расскажите пожалуйста про структуру компании?,Буду ли я обеспечен компьютером? 
,,Кто нам требуется сейчас? ,Когда переводят на карту ЗП?,,,
Сколько я могу использовать еще дней отпуска и как их могу разбить?,"Уточните, пожалуйста, порядок оформления командировки","Какие вакансии сейчас открыты в нашей компании?
Можете прислать их на почту?","Когда день выплаты зарплаты?
А когда аванс?","Подскажите, пожалуйста, как мне записаться на экскупсию на завод?","РАсскажите мне, пожалуйста, как устроена у нас организационная структура?","Подскажите, пожалуйста, как мне получить новый компьютер?"
"Можно узнать, сколкьо дней отпуска у меня еще осталось?",Могу ли я отказаться от командировки?,Какие вакансии у вас открыты?,Когда ждать зп?,Как записаться на экскурсию на завод?,У кого можно узнать о структуре организации?,Где мой рабочий комп?
Сколько дней отпуска я могу взять в этом году?,Должени ли я сам оформлять визу?,Можно узнать об открытых вакансиях в вашей компании?,,Я могу отказаться от экскурсии на завод?,Как устроена иерархия в компании?,Как мне получить рабочий компьютер?
Сколько мне еще можно дней отгулять?,Могу ли я пользоваться такси во время командировки?,У кого можно узнать об открытых вакансиях?,когда ждать зарплату?,Как попасть на завод с экскурсией?,Как связаны между собой отделы?,"Мне надоело таскать свой ноутбук каждый день, когда мне дадут рабочий???"
,Как мне правильно собрать документы для командировки?,Расскажите пожалуйста о существующих вакансиях?,По каким дням выплачивается зарплата?,,,Предоставляет ли компания компьютер для работы?
,Как мне получить командировочные? Что нужно?,Расскажите о возможных вакансиях.,Меня интересует дата выдачи зарплаты.,,,
,"Я потерял чеки, могу ли рассчитывать на возмещение?",,,,,
